gene_id	gene_description	pathway	module	subheader	topic_ecosystem	note	reference
K00531	nitrogenase delta subunit [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	Inorganic Nitrogen Transformations	N2 Fixation	ag
K02586	nitrogenase molybdenum-iron protein [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	Inorganic Nitrogen Transformations	N2 Fixation	ag
K02588	nitrogenase iron protein [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	Inorganic Nitrogen Transformations	N2 Fixation	ag
K02591	nitrogenase molybdenum-iron protein [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	Inorganic Nitrogen Transformations	N2 Fixation	ag
K22896	vanadium-dependent nitrogenase [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	Inorganic Nitrogen Transformations	N2 Fixation	ag
K22897	vanadium-dependent nitrogenase [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	Inorganic Nitrogen Transformations	N2 Fixation	ag
K22898	vanadium nitrogenase delta subunit [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	Inorganic Nitrogen Transformations	N2 Fixation	ag
K22899	vanadium nitrogenase iron protein [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	Inorganic Nitrogen Transformations	N2 Fixation	ag
K00370	narG, nitrate reductase, alpha subunit [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	Inorganic Nitrogen Transformations	N Reduction	ag
K00371	narH, nitrate reductase, beta subunit [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	Inorganic Nitrogen Transformations	N Reduction	ag
K00374	narI, nitrate reductase, gamma subunit [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	Inorganic Nitrogen Transformations	N Reduction	ag
K02567	periplasmic nitrate reductase NapA [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	Inorganic Nitrogen Transformations	N Reduction	ag
K02568	cytochrome c-type protein NapB [RN:R00798]	nitrate → nitrite	Inorganic Nitrogen Transformations	N Reduction	ag
K00368	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite → nitric oxide	Inorganic Nitrogen Transformations	N Reduction	ag
K15864	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite → nitric oxide	Inorganic Nitrogen Transformations	N Reduction	ag
K15877	fungal nitric oxide reductase (CYP55) [EC:1.7.1.14]	nitric oxide → nitrous oxide	Inorganic Nitrogen Transformations	NO to N2O	ag
K04561	nitric oxide reductase [EC:1.7.2.5] [RN:R00294]	nitric oxide → nitrous oxide	Inorganic Nitrogen Transformations	NO to N2O	ag
K00376	nitrous-oxide reductase [EC:1.7.2.4] [RN:R02804]	nitrous oxide → nitrogen gas	Inorganic Nitrogen Transformations	N2O to N2	ag
K02575	NRT; MFS transporter= NNP family= nitrate/nitrite transporter	Nitrate/nitrite assimilation	Inorganic Nitrogen Transformations	N Reduction	ag
K00367	narB, assimilatory nitrate reductase [EC:1.7.7.2]	Assimilatory nitrate reduction =Nitrate → nitrite	Inorganic Nitrogen Transformations	N Reduction	ag
K10534	nr, assimilatory nitrate reductase [EC:1.7.7.2]	Assimilatory nitrate reduction =Nitrate → nitrite	Inorganic Nitrogen Transformations	N Reduction	ag
K00372	assimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Assimilatory nitrate reduction =Nitrate → nitrite	Inorganic Nitrogen Transformations	N Reduction	ag
K00360	assimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Assimilatory nitrate reduction =Nitrate → nitrite	Inorganic Nitrogen Transformations	N Reduction	ag
K17877	nirA, ferredoxin-nitrite reductase [EC:1.7.7.1]	Assimilatory nitrate reduction= Nitrite → ammonium	Inorganic Nitrogen Transformations	N Reduction	ag
K00366	assimilatory nitrite reductase [EC:1.7.7.1] [RN:R00790]	Assimilatory nitrate reduction= Nitrite → ammonium	Inorganic Nitrogen Transformations	N Reduction	ag
K26139	nasE, nitrite reductase FAD-binding subunit [EC:1.7.1.-]	Assimilatory nitrate reduction= Nitrite → ammonium	Inorganic Nitrogen Transformations	N Reduction	ag
K26138	nasD, nitrite reductase NADH-binding subunit [EC:1.7.1.-]	Assimilatory nitrate reduction= Nitrite → ammonium	Inorganic Nitrogen Transformations	N Reduction	ag
K00361	nirB, NADH-nitrite reductase large subunit [EC:1.7.1.15]	Assimilatory nitrate reduction= Nitrite → ammonium	Inorganic Nitrogen Transformations	N Reduction	ag
K00370	narG, nitrate reductase alpha subunit [EC:1.7.99.-]	Dissimilatory nitrate reduction = nitrate → ammonia (via Nar system)	Inorganic Nitrogen Transformations	N Reduction	ag
K00371	narH, nitrate reductase beta subunit [EC:1.7.99.-]	Dissimilatory nitrate reduction = nitrate → ammonia (via Nar system)	Inorganic Nitrogen Transformations	N Reduction	ag
K00374	narI, nitrate reductase gamma subunit [EC:1.7.99.-]	Dissimilatory nitrate reduction = nitrate → ammonia (via Nar system)	Inorganic Nitrogen Transformations	N Reduction	ag
