gene_id	gene_description	module	subheader	topic_ecosystem	notes
K00370	narG, nitrate reductase, alpha subunit [EC:1.7.99.-] [RN:R00798]	Nitrogen Cycling	Nitrification, Comammox, Denitrification, DNRA	eng_sys	Nitrite Oxidation to Nitrate (Nitrification), Complete Ammonia Oxidation (Comammox), Nitrate Reduction to Nitrite, DNRA (NO3 to NH4)
K00371	narH, nitrate reductase, beta subunit [EC:1.7.99.-] [RN:R00798]	Nitrogen Cycling	Nitrification, Comammox, Denitrification, DNRA	eng_sys	Nitrite Oxidation to Nitrate (Nitrification), Complete Ammonia Oxidation (Comammox), Nitrate Reduction to Nitrite, DNRA (NO3 to NH4)
K00149	aldehyde dehydrogenase family 9 member A1	Fermentation End Products	Organic Acids, Alcohols, Other Carbon, Biocide Resistance	eng_sys	Acetate Production, Ethanol Production, Ethylene Glycol Degradation, Aldehyde Resistance
K01895	acetyl-CoA synthetase [EC:6.2.1.1] [RN:R00235]	Methane Production & Consumption	Methane Production, Organic Acids, Alcohols	eng_sys	Acetoclastic Methanogenesis, Acetate Production, Ethanol Production
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Fermentation End Products	Organic Acids, Alcohols, Other Carbon	eng_sys	Acetate Production, Ethanol Production, Ethylene Glycol Degradation
K14085	aminoadipate-semialdehyde dehydrogenase [EC:1.2.1.31] [RN:R03102 R03103]	Fermentation End Products	Organic Acids, Other Carbon, Biocide Resistance	eng_sys	Acetate Production, Ethylene Glycol Degradation, Aldehyde Resistance
K00394	aprA; adenylylsulfate reductase subunit alpha	Sulfur Cycling	Sulfide Production, S Transformations	eng_sys	Dissimilatory Sulfate Reduction, Sulfur Disproportionation
K00395	aprB; adenylylsulfate reductase subunit beta	Sulfur Cycling	Sulfide Production, S Transformations	eng_sys	Dissimilatory Sulfate Reduction, Sulfur Disproportionation
K11180 | dsrA	sulfite reductase, dissimilatory-type [EC:1.8.99.5] [RN:R00861]	Sulfur Cycling	Sulfide Production, Sulfur Oxidation	eng_sys	Dissimilatory Sulfate Reduction, Sulfur Oxidation - Reverse dsr
K11181 | dsrB	sulfite reductase, dissimilatory-type [EC:1.8.99.5] [RN:R00861]	Sulfur Cycling	Sulfide Production, Sulfur Oxidation	eng_sys	Dissimilatory Sulfate Reduction, Sulfur Oxidation - Reverse dsr
K00399	methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541]	Methane Production & Consumption	Methane Production, Methane Oxidation	eng_sys	Hydrogenotrophic Methanogenesis, Anaerobic Methane Oxidation (ANME)
K00401	mcrB; methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541]	Methane Production & Consumption	Methane Production, Methane Oxidation	eng_sys	Hydrogenotrophic Methanogenesis, Anaerobic Methane Oxidation (ANME)
K00402	mcrG; methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541]	Methane Production & Consumption	Methane Production, Methane Oxidation	eng_sys	Hydrogenotrophic Methanogenesis, Anaerobic Methane Oxidation (ANME)
K03421	mcrC; methyl-coenzyme M reductase subunit C	Methane Production & Consumption	Methane Production, Methane Oxidation	eng_sys	Hydrogenotrophic Methanogenesis, Anaerobic Methane Oxidation (ANME)
