gene_id	gene_description	pathway	module	subheader	topic_ecosystem
K01182	sucrase-isomaltase [EC:3.2.1.48]	Sucrose and starch metabolism (sucrase–isomaltase complex)	Carbon Processing	Sugars	gut
K01203	β-fructofuranosidase [EC:3.2.1.26]	Fructose and mannose metabolism (β-fructofuranosidase)	Carbon Processing	Sugars	gut
K12047	sucrose phosphorylase [EC:2.4.1.7]	Sucrose metabolism (sucrose phosphorylase)	Carbon Processing	Sugars	gut
K01187	sucrase [EC:3.2.1.48]	Sucrose metabolism (sucrase)	Carbon Processing	Sugars	gut
K12316	glucosyltransferase [EC:2.4.1.4]	Sucrose and starch metabolism (α-glucosyltransferase)	Carbon Processing	Sugars	gut
K12317	sucrose-6F-phosphate phosphohydrolase [EC:3.1.3.24]	Sucrose-6F-phosphate metabolism (phosphohydrolase)	Carbon Processing	Sugars	gut
K06617	raffinose synthase [EC:2.4.1.82]		Carbon Processing	Sugars	gut
K01193	beta-fructofuranosidase [EC:3.2.1.26]		Carbon Processing	Sugars	gut
K00695	α-glucosidase [EC:3.2.1.20]	Carbohydrate metabolism (α-glucosidase)	Carbon Processing	Sugars	gut
K02810	PTS-Scr-EIIC; PTS system, sucrose-specific IIC component		Carbon Processing	Sugars	gut
K00690	maltase-glucoamylase [EC:3.2.1.20]	Starch and sucrose metabolism (maltase–glucoamylase)	Carbon Processing	Sugars	gut
K05341	glucanotransferase [EC:2.4.1.25]	Glycosyltransferase (oligosaccharide interconversion)	Carbon Processing	Sugars	gut
K00689	oligo-1,6-glucosidase [EC:3.2.1.10]	Carbohydrate metabolism (oligo-1,6-glucosidase)	Carbon Processing	Sugars	gut
K00692	isomaltase [EC:3.2.1.10]	Starch and sucrose metabolism (isomaltase)	Carbon Processing	Sugars	gut
K01809	mannose-6-phosphate isomerase [EC:5.3.1.8]	Mannose metabolism (mannose-6-phosphate isomerase)	Carbon Processing	Sugars	gut
K02793	mannose PTS system IIA component [EC:2.7.1.191]	PTS system, mannose-specific II component	Carbon Processing	Sugars	gut
K02794	mannose PTS system IIB component [EC:2.7.1.191]	PTS system, mannose-specific II component	Carbon Processing	Sugars	gut
K02795	mannose PTS system IIC component [EC:2.7.1.191]	PTS system, mannose-specific II component	Carbon Processing	Sugars	gut
K02796	mannose PTS system EIID component		Carbon Processing	Sugars	gut
K00849	galactokinase [EC:2.7.1.6]	Galactose metabolism (galactokinase; Leloir pathway)	Carbon Processing	Sugars	gut
K00965	galactose-1-phosphate uridylyltransferase [EC:2.7.7.12]	Galactose metabolism (galactose-1-phosphate uridylyltransferase; Leloir pathway)	Carbon Processing	Sugars	gut
K01784	UDP-galactose 4-epimerase [EC:5.1.3.2]	Galactose metabolism (UDP-galactose 4-epimerase; Leloir pathway)	Carbon Processing	Sugars	gut
K01785	galactose mutarotase [EC:5.1.3.3]	Galactose metabolism (galactose mutarotase; Leloir pathway)	Carbon Processing	Sugars	gut
K00879	L-fucokinase [EC:2.7.1.52]	Fucose metabolism (L-fucokinase)	Carbon Processing	Sugars	gut
K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17]	Fucose metabolism (L-fuculose-phosphate aldolase)	Carbon Processing	Sugars	gut
K01818	L-fucose isomerase [EC:5.3.1.25]	Fucose metabolism (L-fucose isomerase)	Carbon Processing	Sugars	gut
K00854	xylose kinase [EC:2.7.1.17]	Xylose metabolism (xylose kinase)	Carbon Processing	Sugars	gut
K01805	xylose isomerase [EC:5.3.1.5]	Xylose metabolism (xylose isomerase)	Carbon Processing	Sugars	gut
K00008	xylitol dehydrogenase [EC:1.1.1.9]	Xylose metabolism (xylitol dehydrogenase)	Carbon Processing	Sugars	gut
K00011	L-arabitol dehydrogenase [EC:1.1.1.12]	Xylose / arabinose metabolism (arabitol dehydrogenase)	Carbon Processing	Sugars	gut
K05351	xylulokinase [EC:2.7.1.17]	Xylose metabolism (xylulokinase)	Carbon Processing	Sugars	gut
K17743	xylitol oxidase [EC:1.1.3.41]	Xylose metabolism (xylitol oxidase)	Carbon Processing	Sugars	gut
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]		Carbon Processing	Sugars	gut
K14273	xylulose reductase [EC:1.1.1.9]	Xylose metabolism (xylulose reductase)	Carbon Processing	Sugars	gut
K14274	D-xylonate dehydratase [EC:4.2.1.82]	Xylose metabolism (xylonate dehydratase)	Carbon Processing	Sugars	gut
K14275	xylonolactonase [EC:3.1.1.68]	Xylose metabolism (xylonolactonase)	Carbon Processing	Sugars	gut
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]		Carbon Processing	Sugars	gut
K27924	mannitol 2-dehydrogenase [EC:1.1.1.67]		Carbon Processing	Sugars	gut
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]		Carbon Processing	Sugars	gut
K00844	hexokinase [EC:2.7.1.1]	Glycolysis (hexokinase reaction)	Carbon Processing	Sugars	gut
K00847	fructokinase [EC:2.7.1.4]		Carbon Processing	Sugars	gut
K00846	ketohexokinase [EC:2.7.1.3]		Carbon Processing	Sugars	gut
K27475	ketohexokinase [EC:2.7.1.3]		Carbon Processing	Sugars	gut
K02768	PTS-Fru-EIIA; PTS system, fructose-specific IIA component		Carbon Processing	Sugars	gut
K02769	PTS-Fru-EIIB; PTS system, fructose-specific IIB component		Carbon Processing	Sugars	gut
K02770	PTS-Fru-EIIC; PTS system, fructose-specific IIC component		Carbon Processing	Sugars	gut
K02771	PTS-Fru1-EIID; PTS system, fructose-specific IID component		Carbon Processing	Sugars	gut
K11194	PTS-Fru1-EIIA; PTS system, fructose-specific IIA component		Carbon Processing	Sugars	gut
K11195	PTS-Fru1-EIIB; PTS system, fructose-specific IIB component		Carbon Processing	Sugars	gut
K11196	PTS-Fru1-EIIC; PTS system, fructose-specific IIC component		Carbon Processing	Sugars	gut
K01804	L-arabinose isomerase [EC:5.3.1.4]	Arabinose metabolism (L-arabinose isomerase)	Carbon Processing	Sugars	gut
K26066	arabinose 1-dehydrogenase [EC:1.1.1.46]	Arabinose metabolism (arabinose 1-dehydrogenase)	Carbon Processing	Sugars	gut
K13873	arabinolactonase [EC:3.1.1.110]	Arabinose metabolism (arabinolactonase)	Carbon Processing	Sugars	gut
K19660	arabinonate dehydratase [EC:4.2.1.37]	Arabinose metabolism (arabinonate dehydratase)	Carbon Processing	Sugars	gut
K12446	L-arabonate dehydratase [EC:4.2.1.37]	Arabinose metabolism (L-arabonate dehydratase)	Carbon Processing	Sugars	gut
K01813	L-rhamnose isomerase [EC:5.3.1.14]		Carbon Processing	Sugars	gut
K01820	L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]		Carbon Processing	Sugars	gut
K18337	L-rhamnose 1-dehydrogenase [EC:1.1.1.378 1.1.1.377 1.1.1.173]		Carbon Processing	Sugars	gut
GH94	GH94 cellobiose phosphorylase (EC:2.4.1.20); laminaribiose phosphorylase (EC:2.4.1.31); cellodextrin phosphorylase (EC:2.4.1.49); chitobiose phosphorylase (EC:2.4.1.-); cyclic beta-1,2-glucan synthase (EC:2.4.1.-); cellobionic acid phosphorylase (EC:2.4.1.321); beta-1,2-oligoglucan phosphorylase (EC:2.4.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
