topic_ecosystem	module	gene_id	gene_description
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K01812	glucuronate isomerase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K00041	tagaturonate reductase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K01685	altronate hydrolase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K16849	altronate dehydratase small subunit
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K16850	altronate dehydratase large subunit
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K00874	2-dehydro-3-deoxygluconokinase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K01785	aldose 1-epimerase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K01190	beta-galactosidase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K12111	evolved beta-galactosidase subunit alpha
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K12112	evolved beta-galactosidase subunit beta
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K12309	beta-galactosidase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K01203	sucrase-isomaltase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K01193	beta-fructofuranosidase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K12047	maltase-glucoamylase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K01187	alpha-glucosidase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K12316	lysosomal alpha-glucosidase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K12317	neutral alpha-glucosidase C
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K15922	sulfoquinovosidase
Carbon_Organic Trophic	Organic Trophic Groups (polymer, sugar, LMOA)	K00690	sucrose phosphorylase
