topic_ecosystem	module	gene_id	gene_description
Defense System-Viral	Crispr/phage resistance	K07016	csm1, cas10; CRISPR-associated protein Csm1
Defense System-Viral	Crispr/phage resistance	K19138	csm2; CRISPR-associated protein Csm2
Defense System-Viral	Crispr/phage resistance	K09002	csm3; CRISPR-associated protein Csm3
Defense System-Viral	Crispr/phage resistance	K19139	csm4; CRISPR-associated protein Csm4
Defense System-Viral	Crispr/phage resistance	K19140	csm5; CRISPR-associated protein Csm5
Defense System-Viral	Crispr/phage resistance	K07061	cmr1; CRISPR-associated protein Cmr1
Defense System-Viral	Crispr/phage resistance	K19076	cmr2, cas10; CRISPR-associated protein Cmr2
Defense System-Viral	Crispr/phage resistance	K09127	cmr3; CRISPR-associated protein Cmr3
Defense System-Viral	Crispr/phage resistance	K09000	cmr4; CRISPR-associated protein Cmr4
Defense System-Viral	Crispr/phage resistance	K19141	cmr5; CRISPR-associated protein Cmr5
Defense System-Viral	Crispr/phage resistance	K19142	cmr6; CRISPR-associated protein Cmr6
Defense System-Viral	Crispr/phage resistance	K19143	csx1; CRISPR-associated protein Csx1
Defense System-Viral	Crispr/phage resistance	K19144	csx3; CRISPR-associated protein Csx3
Defense System-Viral	Crispr/phage resistance	K19145	csx16; CRISPR-associated protein Csx16
Defense System-Viral	Crispr/phage resistance	K19146	csaX; CRISPR-associated protein CsaX
Defense System-Viral	Crispr/phage resistance	K09952	csn1, cas9; CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]
Defense System-Viral	Crispr/phage resistance	K19137	csn2; CRISPR-associated protein Csn2
Defense System-Viral	Crispr/phage resistance	K07464	cas4; CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]
Defense System-Viral	Crispr/phage resistance	K07012	cas3; CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]
Defense System-Viral	Crispr/phage resistance	K07475	cas3; CRISPR-associated endonuclease Cas3-HD [EC:3.1.-.-]
Defense System-Viral	Crispr/phage resistance	K19085	csa1; CRISPR-associated protein Csa1
Defense System-Viral	Crispr/phage resistance	K19074	csa2; CRISPR-associated protein Csa2
Defense System-Viral	Crispr/phage resistance	K07725	csa3; CRISPR-associated protein Csa3
Defense System-Viral	Crispr/phage resistance	K19086	csa4, cas8a2; CRISPR-associated protein Csa4
Defense System-Viral	Crispr/phage resistance	K19087	csa5; CRISPR-associated protein Csa5
Defense System-Viral	Crispr/phage resistance	K19088	cst1, cas8a; CRISPR-associated protein Cst1
Defense System-Viral	Crispr/phage resistance	K19075	cst2, cas7; CRISPR-associated protein Cst2
Defense System-Viral	Crispr/phage resistance	K19089	cas5a_b_c; CRISPR-associated protein Cas5a/b/c
Defense System-Viral	Crispr/phage resistance	K19090	cas5t; CRISPR-associated protein Cas5t
Defense System-Viral	Crispr/phage resistance	K19091	cas6; CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]
Defense System-Viral	Crispr/phage resistance	K19114	csh1; CRISPR-associated protein Csh1
Defense System-Viral	Crispr/phage resistance	K19115	csh2; CRISPR-associated protein Csh2
Defense System-Viral	Crispr/phage resistance	K19116	cas5h; CRISPR-associated protein Cas5h
Defense System-Viral	Crispr/phage resistance	K19117	csd1, cas8c; CRISPR-associated protein Csd1
Defense System-Viral	Crispr/phage resistance	K19118	csd2, cas7; CRISPR-associated protein Csd2
Defense System-Viral	Crispr/phage resistance	K19119	cas5d; CRISPR-associated protein Cas5d
Defense System-Viral	Crispr/phage resistance	K19120	csc1; CRISPR-associated protein Csc1
Defense System-Viral	Crispr/phage resistance	K19121	csc2; CRISPR-associated protein Csc2
Defense System-Viral	Crispr/phage resistance	K19122	csc3; CRISPR-associated protein Csc3
Defense System-Viral	Crispr/phage resistance	K19123	casA, cse1; CRISPR system Cascade subunit CasA
Defense System-Viral	Crispr/phage resistance	K19046	casB, cse2; CRISPR system Cascade subunit CasB
Defense System-Viral	Crispr/phage resistance	K19124	casC, cse4; CRISPR system Cascade subunit CasC
Defense System-Viral	Crispr/phage resistance	K19125	casD, cse5; CRISPR system Cascade subunit CasD
Defense System-Viral	Crispr/phage resistance	K19126	casE, cse3; CRISPR system Cascade subunit CasE
Defense System-Viral	Crispr/phage resistance	K19127	csy1; CRISPR-associated protein Csy1
Defense System-Viral	Crispr/phage resistance	K19128	csy2; CRISPR-associated protein Csy2
Defense System-Viral	Crispr/phage resistance	K19129	csy3; CRISPR-associated protein Csy3
Defense System-Viral	Crispr/phage resistance	K19130	csy4, cas6f; CRISPR-associated endonuclease Csy4 [EC:3.1.-.-]
Defense System-Viral	Crispr/phage resistance	K19131	csb1; CRISPR-associated protein Csb1
Defense System-Viral	Crispr/phage resistance	K19132	csb2; CRISPR-associated protein Csb2
Defense System-Viral	Crispr/phage resistance	K19133	csb3; CRISPR-associated protein Csb3
Defense System-Viral	Crispr/phage resistance	K19134	csx10; CRISPR-associated protein Csx10
Defense System-Viral	Crispr/phage resistance	K19135	csx14; CRISPR-associated protein Csx14
Defense System-Viral	Crispr/phage resistance	K19136	csx17; CRISPR-associated protein Csx17
Defense System-Viral	Crispr/phage resistance	K15342	cas1; CRISP-associated protein Cas1
Defense System-Viral	Crispr/phage resistance	K09951	cas2; CRISPR-associated protein Cas2
Stress tolerance- general	Heat Shock	K04455	HSPB1; heat shock protein family B (small) member 1
Stress tolerance- general	Heat Shock	K03667	ttm:Tthe_1460 heat shock protein HslVU, ATPase subunit HslU; K03667 AAA_2 AAA ClpB_D2-small AAA_5 AAA_22 AAA_16 Mg_chelatase Sigma54_activat MCM AAA_18 RuvB_N ABC_tran NTPase_1 TniB AAA_28 AAA_33 Zeta_toxin AAA_7 IstB_IS21 TIP49 TsaE FAS_meander AAA_19 DEAD
Stress tolerance- general	Heat Shock	K13993	ttm:Tthe_0173 heat shock protein Hsp20; K13993 HSP20 ArsA_HSP20 CS
Stress tolerance- general	Heat Shock	K03686	blq:L21SP5_01031 dnaJ; Heat shock protein J; K03686 DnaJ_C DnaJ DnaJ_CXXCXGXG Anti-TRAP
Stress tolerance- general	Heat Shock	K04762	pet:PEIBARAKI_4309 heat shock protein 15; K04762 S4
Stress tolerance- general	Heat Shock	K05801	tli:Tlie_1612 heat shock protein DnaJ domain protein; K05801 DnaJ 3HBOH
Stress tolerance- general	Heat Shock	K03799	mem:Memar_2252 Heat shock protein, Metallo peptidase, MEROPS family M48B; K03799 Peptidase_M48 Peptidase_M56 Peptidase_U49 SprT-like DUF2268 Pex24p
Stress tolerance- general	Heat Shock	K03705	tte:TTE0953 HrcA; Transcriptional regulator of heat shock gene; K03705 HrcA HrcA_DNA-bdg HTH_11 HTH_DeoR
Stress tolerance- general	Heat Shock	K03687	tte:TTE0954 GrpE; Molecular chaperone GrpE (heat shock protein); K03687 GrpE Herpes_UL6 GldM_N Complex1_LYR Trans_reg_C DUF573 KxDL Atg14 DUF87
Stress tolerance- general	Heat Shock	K13640	cha:CHAB381_0975 putative heat shock protein HspR; K13640 MerR_1 MerR_2 MerR HTH_17 HTH_3 PKcGMP_CC TolA_bind_tri HTH_23
Stress tolerance- general	Heat Shock	K01419	hor:Hore_07560 heat shock protein HslVU, ATP dependent protease HslV; K01419 Proteasome
Stress tolerance- general	Heat Shock	K07721	tko:TK2291 archaeal heat shock regulator, ArsR family; K07721 HTH_5 HTH_20 ArsR HTH_24 PadR TrmB MarR_2 HTH_CodY HTH_11 PSY3 MscS_porin GntR DprA_WH HTH_10 LexA_DNA_bind HxlR IF2_N DUF4795 DUF2205
Stress tolerance- general	Heat Shock	K19411	min:Minf_0201 mcsA; Modulator of heat shock repressor CtsR, McsA; K19411 UVR TackOD1 XFP A2L_zn_ribbon HypA
Stress tolerance- general	Heat Shock	K22447	thv:ADU37_CDS16120 Heat shock protein 60 family chaperone GroEL / Thermosome subunit; K22447 Cpn60_TCP1 AAA_5
Stress tolerance- general	Heat Shock	K04079	csh:Closa_3215 Heat shock protein Hsp90-like protein; K04079 HSP90 HATPase_c_3 HATPase_c
