name	alias	rule	topic_ecosystem	notes
Methanogen	methanogen	mcr & notOtherMethanogen	energy
	mcr	McrA | K00399 | K00400 | K00401 | K00402 | K03421 | K03422	energy
	notOtherMethanogen	not(OtherAjMethanogen)	energy
	OtherAjMethanogen	sulfatereducer | Denitrifier | AerobicAmmoniaOxidizer | comammox | annamox | Phototroph | ETC60	energy
Aerobic Ammonia Oxidizer	AerobicAmmoniaOxidizer	TRUEAmmoniaMonooxygenase 	energy
	ProbableAmmoniaMonooxygenase	EC:1.14.99.39 | K10944 | K10945 | K10946	energy
	TRUEAmmoniaMonooxygenase	amoa_beta | amoa_crenarchaea | amoa_gamma | amoa_Nitrospira_beta	energy
	HydroxylamineDehydrogenase	EC:1.7.2.6 | K10535	energy
Ammonia or Methane Oxidizer	AmmoniaMethaneOxidizer	ProbableAmmoniaMonooxygenase | ProbablePmoA	energy
Nitrite Oxidizer	nxr	NXR	energy
	ProbableNarNxr	K00370 | K00371	energy
Nitrite Oxidizer or Nitrate Reducer	NOxorRed	ProbableNarNxr	energy
Comammox	comammox	AmmoniaMonooxygenase & NitriteOxidoreductase & HydrazineDeydrogenase	energy
	NitriteOxidoreductase	K00370 | K00371	energy
	HydrazineDeydrogenase	EC:1.7.2.8 | K20935	energy
annamox	annamox	HydrazineDeydrogenase & HydrazineSynthase	energy
	HydrazineSynthase	EC:1.7.2.7 | K20932 | K20933 | K20934	energy
Nitrogen fixer	NitrogenFixer	Nitrogenase	energy
	Nitrogenase	EC:1.18.6.1 | EC:1.18.6.2 | K02591 | K02586 | K02588 | K00531 | K22897 | K22896 | K22898 | K22899	energy
Phototroph	Phototroph	ReactionCore & PigmentBioSyn	energy
	ReactionCore	K02703 | K02706 | K02689 | K02690 | K08928 | K08929 | K08940	energy
	PigmentBioSyn	at_least(2, PRESENCE, [K04036,K04037,K04038,K03403,K03404,K03405,K03406,K04035,K04040])	energy
	ETC60	percent60ComplexIA | percent60ComplexIB | percent60ComplexIC	energy
	ETC50	percent50ComplexIA | percent50ComplexIB | percent50ComplexIC	energy
	percent50ComplexIA	percent(50,ComplexIA)	energy
	percent50ComplexIB	percent(50,ComplexIB)	energy
	percent50ComplexIC	percent(50,ComplexIC)	energy
	percent60ComplexIA	percent(60,ComplexIA)	energy
	percent60ComplexIB	percent(60,ComplexIB)	energy
	percent60ComplexIC	percent(60,ComplexIC)	energy
	ComplexIA	K00330,[K00331 & K00332 & [K00333 | K00331] & [K13378 | K13380]],K00334,K00335,K00336,K00337,K00338,K00339,K00340,[[K00341 & K00342] | K15863],K00343	energy
	ComplexIB	K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585	energy
	ComplexIC	K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353	energy
Obligate Fermenter	Fermenter	not(NegativeForFermenter) &  [Lactate-Final | Ethanol | Acetate-Final | Butyrate-Final | Propionate-Final] & [K00850 | K00873 | K01690 | K01625 | K00615 | K00616]	energy
	NegativeForFermenter	ETC50 | methanogen | Denitrifier | sulfatereducer | AerobicAmmoniaOxidizer | Aerobe | Microaerophillic | Phototroph	energy
	Denitrifier	ETC50 & [[NarNitrateReductase | NapNitrateReductase] | NitriteReductase | NitricOxideReductase | NitrousOxideReductase]	energy
	NitrousOxideReductase	K00376 | EC:1.7.2.4	energy
	NitricOxideReductase	K04561 | K02305 | EC:1.7.2.5	energy
	NitriteReductase	K00368 | K15864 | EC:1.7.2.1	energy
Aerobe	Aerobe	[CytochromeCOxidase | CytochromeAa3600MenaquinolOxidase | CytochromeOUbiquinolOxidase] & ETC50	energy
	CytochromeCOxidase	K02275 | K02274 | K02276 | K15408 | K02277	energy
	CytochromeAa3600MenaquinolOxidase	K02827 | K02826 | K02828 | K02829	energy
	CytochromeOUbiquinolOxidase	AR	energy
Microaerophillic	Microaerophillic	[percent50CytochromeBDUbiquinolOxidase | percent50CytochromeCOxidaseCBB3] & ETC50	energy
	percent50CytochromeBDUbiquinolOxidase	percent(50,CytochromeBDUbiquinolOxidase)	energy
	percent50CytochromeCOxidaseCBB3	percent(50,CytochromeCOxidaseCBB3)	energy
	CytochromeBDUbiquinolOxidase	K00425,K00426,K00424 | K22501	energy
	CytochromeCOxidaseCBB3	K00404 | K00405 | K15862,K00407,K00406	energy
	NotNarNapNrf	not(NarNapNrf)	energy
	NarNapNrf	NarNitrateReductase | NapNitrateReductase | NRF	energy
	NapNitrateReductase	 K00374 | K02567 | K02568 |  EC:1.9.6.1	energy
	NarNitrateReductase	NarG	energy
Iron Oxidation	IronOxidation	[Cyc2 | PioA |  mtoAB | foxEYZ ] & [Microaerophillic | Aerobe | sulfatereducer | Denitrifier | Phototroph]	energy
	Cyc2	at_least(3, COUNTS, [Cyc2_repCluster1, Cyc2_repCluster2, Cyc2_repCluster3])	energy	edit rule for 3 copies or more of this gene
	PioA	PlaceHolder	energy
	foxEYZ	FoxE & FoxY & FoxZ	energy
	mtoAB	MtoA & MtoB 	energy
Probable Iron Reduction	ProbIronReduction	[notIronReductionGenes | hemeCount] & ETC50	energy
	notIronReductionGenes	not(IronReductionGenes)	energy
	hemeCount	NotUnironDescription -> column_count_values(heme_regulatory_motif_count,ge,4,ge,3)	energy
	Do you see the hydra on the rightNotUnironDescription	not(UnironDescription)	energy
	UnironDescription	filter_contains(kegg_description,"nitrate reductase")	energy
Iron Reduction	IronReduction	IronReductionGenes & ETC50	energy
	IronReductionGenes	mtrCAB | omcF | omcS | omcZ | FmnA | ExtABCD	energy
	mtrCAB	MtrA & MtrB_TIGR03509 & MtrC_TIGR03507	energy
	ExtABCD	ExtA_pcc_cyt | ExtB_porin | ExtC_pcc_lp_cyt | ExtD_pcc_lp_cyt	energy
N reducer	Nreducer	ETC50 & [[NarNitrateReductase|NapNitrateReductase] | NitriteReductase | NitricOxideReductase | NitrousOxideReductase]	energy
	TetrathionateReduction	[1ofttrrs & 1ofttrabc] | 2ofttrabc	energy
	1ofttrrs	K13040 | K13041	energy
	2ofttrabc	at_least(2, PRESENCE, ttrabc)	energy
	1ofttrabc	at_least(1, PRESENCE, ttrabc)	energy
	ttrabc	K08359,K08358,K08357	energy
DNRA	DNRA	nirBD | nrfAH	energy
	nirBD	K00362 | K00363	energy
	nrfAH	K03385 | K15876	energy
Methanotroph	Methanotroph	TRUEPmoA | mmoX	energy
	ProbablePmoA	K10944 | EC:1.14.18.3	energy
	TRUEPmoA	 pmoa_alpha_1 | pmoa_alpha_2 | pmoa_crenothrix | pmoa_gamma | pmoa_methyl_eth | pmoa_methylomirabilis | pmoa_verr | pmoa_actinobacteria_chloroflexota	energy
	mmoX	K16157	energy
S oxidizer	sulfateoxidizer	[DsrABtypeo | SoeABC | SorAB | Sqr | FccAB | SoxXA | SoxYZ | SoxB | SoxCD] & percent50NADH	energy
	DsrABtypeo	K11180 | dsrA | dsrB | K11181	energy
	SoeABC	K21307 | K21308 | K21309	energy
	SorAB	K05301 | K00386	energy
